public	inflation_rates	public_read_inflation_rates	SELECT	{anon,authenticated}	b8de41c80aedf2e77d58d1dd6555ab4e	d41d8cd98f00b204e9800998ecf8427e
public	inflation_resolutions	public_read_inflation_resolutions	SELECT	{anon,authenticated}	b326b5062b2f0e69046810717534cb09	d41d8cd98f00b204e9800998ecf8427e
public	invoices	Customers read own invoices	SELECT	{authenticated}	3524221f4c117cdc55aacc0cc685db54	d41d8cd98f00b204e9800998ecf8427e
public	monetary_aggregates	public_read_monetary_aggregates	SELECT	{anon,authenticated}	cceee9382257f8ac179a767a251e2d68	d41d8cd98f00b204e9800998ecf8427e
public	payments	Customers read own payments	SELECT	{authenticated}	3524221f4c117cdc55aacc0cc685db54	d41d8cd98f00b204e9800998ecf8427e
public	platforms	Platforms are visible to authenticated users (metadata only)	SELECT	{authenticated}	b326b5062b2f0e69046810717534cb09	d41d8cd98f00b204e9800998ecf8427e
public	precious_metals_rates	public_read_metals_rates	SELECT	{anon,authenticated}	b78d48cc8861f702e96fd81e73dcfcce	d41d8cd98f00b204e9800998ecf8427e
public	precious_metals_resolutions	public_read_metals_resolutions	SELECT	{anon,authenticated}	b326b5062b2f0e69046810717534cb09	d41d8cd98f00b204e9800998ecf8427e
public	quiltt_institutions_cache	quiltt_institutions_cache_public_read	SELECT	{public}	b326b5062b2f0e69046810717534cb09	d41d8cd98f00b204e9800998ecf8427e
public	source_wallets	Direct users can delete source_wallets via their subaccount	DELETE	{authenticated}	7db97b20d0ba361d129b8ea7eae9755d	d41d8cd98f00b204e9800998ecf8427e
public	source_wallets	Direct users can insert source_wallets via their subaccount	INSERT	{authenticated}	d41d8cd98f00b204e9800998ecf8427e	7db97b20d0ba361d129b8ea7eae9755d
public	source_wallets	Direct users can read source_wallets via their subaccount	SELECT	{authenticated}	7db97b20d0ba361d129b8ea7eae9755d	d41d8cd98f00b204e9800998ecf8427e
public	source_wallets	Direct users can update source_wallets via their subaccount	UPDATE	{authenticated}	7db97b20d0ba361d129b8ea7eae9755d	d41d8cd98f00b204e9800998ecf8427e
public	staff_users	Staff read staff_users	SELECT	{authenticated}	8a30881afbcacd754d0577f49979525e	d41d8cd98f00b204e9800998ecf8427e
public	stealth_connections	Owners can read their stealth connections	SELECT	{authenticated}	56432150e324804bab7b2994ce3e7d1e	d41d8cd98f00b204e9800998ecf8427e
public	stealth_scan_ranges	Owners can read their stealth scan ranges	SELECT	{authenticated}	5c7f4607232447c2f0fd7e328acb394e	d41d8cd98f00b204e9800998ecf8427e
public	stealth_transactions	Owners can read their stealth transactions	SELECT	{authenticated}	666e185359b5e4f1862c01e22b0583f7	d41d8cd98f00b204e9800998ecf8427e
public	subaccounts	Direct users can read their own subaccount	SELECT	{authenticated}	feaf32b5096104566091cf1e013da31e	d41d8cd98f00b204e9800998ecf8427e
public	subscriptions	Customers read own subscriptions	SELECT	{authenticated}	3524221f4c117cdc55aacc0cc685db54	d41d8cd98f00b204e9800998ecf8427e
public	tech_productivity_curves	public_read_tech_productivity_curves	SELECT	{anon,authenticated}	b326b5062b2f0e69046810717534cb09	d41d8cd98f00b204e9800998ecf8427e
